ensembl_gene_id	hgnc_symbol	TCGA-A1-A0SH-01A-11R-A084-07	TCGA-A2-A04P-01A-31R-A034-07	TCGA-A2-A25B-01A-11R-A169-07	TCGA-A8-A08B-01A-11R-A00Z-07	TCGA-AO-A124-01A-11R-A10J-07	TCGA-AO-A1KR-01A-12R-A144-07	TCGA-C8-A12T-01A-11R-A115-07	TCGA-D8-A1XL-01A-11R-A14M-07	TCGA-E2-A1L9-01A-11R-A13Q-07	TCGA-PE-A5DE-01A-11R-A27Q-07	TCGA-BH-A2L8-01A-11R-A18M-07	TCGA-A2-A0SU-01A-11R-A084-07	TCGA-A2-A0T0-01A-22R-A084-07	TCGA-A7-A26H-01A-11R-A169-07	TCGA-A8-A06X-01A-21R-A00Z-07	TCGA-A8-A07I-01A-11R-A00Z-07	TCGA-A8-A08L-01A-11R-A00Z-07	TCGA-A8-A0A7-01A-11R-A00Z-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-AN-A046-01A-21R-A034-07	TCGA-AN-A0AT-01A-11R-A034-07	TCGA-AN-A0XU-01A-11R-A109-07	TCGA-AR-A1AI-01A-11R-A12P-07	TCGA-BH-A0DS-01A-11R-A056-07	TCGA-BH-A0HF-01A-11R-A056-07	TCGA-D8-A1JP-01A-11R-A13Q-07	TCGA-D8-A27G-01A-11R-A16F-07	TCGA-D8-A27M-01A-11R-A16F-07	TCGA-D8-A27V-01A-12R-A17B-07	TCGA-E2-A1BD-01A-11R-A12P-07	TCGA-E9-A1NC-01A-21R-A26B-07	TCGA-E9-A1R2-01A-11R-A14D-07	TCGA-EW-A1PE-01A-11R-A144-07	TCGA-GM-A2D9-01A-11R-A18M-07	TCGA-LL-A5YP-01A-21R-A28M-07	TCGA-A1-A0SE-01A-11R-A084-07	TCGA-A1-A0SF-01A-11R-A144-07	TCGA-A1-A0SQ-01A-21R-A144-07	TCGA-A2-A04R-01A-41R-A109-07	TCGA-A2-A04V-01A-21R-A034-07	TCGA-A2-A04W-01A-31R-A115-07	TCGA-A2-A04X-01A-21R-A034-07	TCGA-A2-A0CL-01A-11R-A115-07	TCGA-A2-A0CM-01A-31R-A034-07	TCGA-A2-A0CX-01A-21R-A00Z-07	TCGA-A2-A0D2-01A-21R-A034-07	TCGA-A2-A0D4-01A-11R-A00Z-07	TCGA-A2-A0SX-01A-12R-A084-07	TCGA-A2-A0T3-01A-21R-A115-07	TCGA-A2-A0T5-01A-21R-A084-07	TCGA-A2-A0T6-01A-11R-A084-07	TCGA-A2-A0T7-01A-21R-A084-07	TCGA-A2-A0YJ-01A-11R-A109-07	TCGA-A2-A0YL-01A-21R-A109-07	TCGA-A2-A1G0-01A-11R-A13Q-07	TCGA-A2-A1G6-01A-11R-A13Q-07	TCGA-A2-A25A-01A-12R-A16F-07	TCGA-A2-A25C-01A-11R-A169-07	TCGA-A2-A25E-01A-11R-A169-07	TCGA-A2-A3KC-01A-11R-A213-07	TCGA-A2-A4RW-01A-21R-A266-07	TCGA-A2-A4RY-01A-31R-A266-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A26G-01A-21R-A169-07	TCGA-A7-A26J-01A-11R-A169-07	TCGA-A7-A426-01A-22R-A24H-07	TCGA-A7-A4SA-01A-11R-A266-07	TCGA-A7-A5ZX-01A-12R-A29R-07	TCGA-A8-A075-01A-11R-A084-07	TCGA-A8-A07J-01A-11R-A00Z-07	TCGA-A8-A08G-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08X-01A-21R-A00Z-07	TCGA-A8-A092-01A-11R-A00Z-07	TCGA-A8-A095-01A-11R-A00Z-07	TCGA-A8-A09A-01A-11R-A00Z-07	TCGA-A8-A09V-01A-11R-A034-07	TCGA-AN-A041-01A-11R-A034-07	TCGA-AN-A0AL-01A-11R-A00Z-07	TCGA-AN-A0AR-01A-11R-A00Z-07	TCGA-AN-A0FF-01A-11R-A034-07	TCGA-AN-A0FZ-01A-11R-A034-07	TCGA-AN-A0XW-01A-11R-A109-07	TCGA-AO-A03L-01A-41R-A056-07	TCGA-AO-A03M-01B-11R-A10J-07	TCGA-AO-A03T-01A-21R-A034-07	TCGA-AO-A03U-01B-21R-A10J-07	TCGA-AO-A0J2-01A-11R-A034-07	TCGA-AO-A0J4-01A-11R-A034-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-AO-A0JA-01A-11R-A056-07	TCGA-AO-A0JB-01A-11R-A32Y-07	TCGA-AO-A0JM-01A-21R-A056-07	TCGA-AO-A126-01A-11R-A10J-07	TCGA-AO-A129-01A-21R-A10J-07	TCGA-AO-A12A-01A-21R-A115-07	TCGA-AO-A12D-01A-11R-A115-07	TCGA-AO-A12E-01A-11R-A10J-07	TCGA-AO-A12F-01A-11R-A115-07
ENSG00000004846	ABCB5	6	0	3	0	0	0	10	4	22	3	11	26	5	29	0	7	1	11	5	2	1	3	0	44	24	5	6	11	5	5	11	35	72	5	44	26	11	14	14	2	15	1	39	0	6	9	1	13	18	2	2	42	3	173	26	168	92	31	12	42	194	93	35	25	36	27	139	12	23	4	30	39	26	14	15	48	25	2	7	8	4	11	25	5	8	54	4	3	1	4	4	21	12	4	9	12	8	1	113	40
ENSG00000005471	ABCB4	176	55	166	43	52	9	111	94	266	116	110	113	53	359	27	85	65	157	97	118	75	41	45	115	85	127	158	256	269	185	41	65	90	74	86	67	67	206	91	142	64	71	236	111	76	43	156	137	97	50	223	134	20	103	165	51	179	291	125	144	90	57	128	88	239	141	130	71	48	130	180	375	94	110	124	95	218	120	297	92	83	245	147	106	62	99	32	194	26	170	239	104	16	74	122	67	104	96	286	90
ENSG00000006071	ABCC8	849	8	38	231	4	8	587	1606	105	601	2370	350	0	206	3	768	968	42	350	626	1	7	1	440	584	1020	2356	2	431	1461	0	269	1151	1006	7	1814	538	756	69	316	32	394	34	5	346	26	356	15	3072	436	2646	264	0	383	3693	354	384	615	326	541	1983	931	316	179	6	1078	2691	29	751	110	1527	589	237	0	345	238	213	2928	2195	0	21	251	10239	2780	122	395	1930	21	32	9	48	129	55	145	4845	11	963	51	214	20
ENSG00000008988	RPS20	26777	97889	42327	16919	54245	66980	61946	70440	42009	27523	46201	42943	65330	42031	19301	17335	41025	50931	22792	55234	78581	43067	42702	68684	41700	37043	32370	34693	63865	99742	247129	30072	17315	28663	43128	46051	59797	22996	23243	56496	23206	47895	30202	37928	51949	61926	39945	46638	29063	77541	38427	45635	57469	50936	32237	59695	74933	25653	28922	30597	15041	27440	34074	28862	58900	31907	70907	25994	46191	48657	26636	29479	15348	55847	111790	35002	21292	26476	40489	26068	141649	21833	48985	30914	32971	37313	39382	36344	43334	69513	32729	15738	52698	34739	104691	69453	38962	27592	40603	86333
ENSG00000009307	CSDE1	44152	20555	47762	17663	51708	15421	35349	35502	50713	26533	43556	45297	64024	81191	40353	21803	28035	42508	61188	32764	84559	46065	98706	27662	31366	17089	59390	58888	96557	43079	27899	32110	27215	15415	33540	50900	22934	32726	18620	35255	36546	35813	39263	34573	32245	26441	50094	46346	37386	48223	54465	55385	32063	52996	66841	51440	80100	51805	29357	25132	19479	26365	39323	35963	74471	32466	35526	18149	32028	31172	33832	61860	46134	25389	33620	45618	38112	54275	34046	41212	63901	29946	53910	25774	44099	68727	13663	64872	56421	90791	55726	36696	9160	21906	31544	33490	38019	47230	45223	37452
ENSG00000011198	ABHD5	3492	3293	2328	555	4158	2661	2403	2193	4578	1418	2138	2106	3101	1862	2550	2139	1833	1453	2864	2411	4006	1492	3608	1846	2158	1365	3814	2006	4432	2822	1413	1264	2583	759	2422	2504	1046	1502	3083	2154	2112	3430	1550	1467	1537	1608	2473	2587	2200	3403	2211	2982	2651	2092	2171	2524	3165	6252	2942	1590	909	1287	2470	3246	5141	2915	1730	742	1338	1618	1205	2538	2701	1310	2915	3830	1744	2426	2126	1470	1420	1576	2426	2817	1685	2393	1220	7259	4057	2071	2100	2428	361	1184	912	1156	2898	2776	3569	2832
ENSG00000011426	ANLN	720	1721	11329	1213	12096	1156	3941	1713	2280	880	2680	1180	5603	2934	3796	7980	2329	2529	5227	1083	10416	9132	5176	1666	1144	1402	2820	7214	2821	1879	5798	882	1978	430	1892	2023	800	1455	4322	1087	1939	3001	1996	4205	2462	4184	6542	2897	4525	1477	611	1970	16475	1906	1107	214	2725	10742	2377	1679	685	295	941	5253	5245	2476	891	716	270	6402	382	4371	1969	3662	4665	4591	1890	4387	1822	5955	3290	1998	2067	4464	3178	3613	1409	1230	6379	18107	2188	2418	341	3232	665	5561	1827	4011	3430	4792
ENSG00000011465	DCN	195015	7538	39541	3617	3398	1305	62707	17646	102352	12936	44023	26941	39844	84571	13081	31673	18912	68260	34230	26770	13469	5058	9562	29066	41637	76131	50153	48459	101814	38791	29403	16429	24071	13625	55090	50473	42628	12122	18045	37931	27495	14254	28890	21331	50619	15937	14554	51668	15429	23801	155579	56892	6459	52262	63595	112412	138013	68450	17569	47576	22261	31642	18855	9264	112936	54542	74857	17707	85658	28132	70057	52149	30353	37332	30476	26650	25262	89837	50303	37590	6029	20193	31458	106845	37331	25471	7518	36888	13104	22578	124019	63093	2752	23599	84330	14947	39415	42559	23885	18386
ENSG00000012223	LTF	7209	47372	48	4950	286730	21971	1306	365	160764	329435	11407	26743	133926	4213	42	345	605	5528	601578	9424	1296	8301	235453	2745	186868	713	95	6645	670	30326	2133	9273	326843	128907	1939	23710	3133	22762	1894	6495	12008	1065	4874	428	18114	7112	5781	11817	8368	25243	2222	45369	2800	20741	4189	22819	161102	9034	2117	7863	474	24149	715	1655	1192422	1457	8058	15242	6891	25139	206	983	4475	1139	896	69062	6383	2283	776	33369	2085	327	500	937	28334	48954	26330	3188652	58879	8656	151	22040	34468	322	1245	9223	42586	59996	34047	2881
ENSG00000019582	CD74	100279	113676	62020	43755	48480	62086	62537	259078	150656	356433	435171	78946	97279	109983	47627	68569	124643	298422	28601	195938	62241	157251	186422	159125	96798	115940	113426	409635	105118	431673	143656	81432	331755	67744	93403	54327	92931	58875	16790	62457	45128	219843	296151	123069	121560	98579	32567	143039	22101	73393	176006	108020	15854	98193	106174	102168	235650	74944	54766	114818	47414	85318	20573	73638	168340	52857	127562	74853	44719	133176	154494	104546	16482	94164	79158	90683	49899	56802	67103	97836	31621	117354	66587	237071	70257	231103	259719	314340	547218	191500	106830	117115	47945	47094	153419	142524	185487	148469	130253	26228
